IDText,Text,cleaned_text
TXT0001,lu mau org2 prodemokrasi di negara ini bisa punya kesempatan lagi buat ngelawan oligarki di indo pilih amin tpi jangan pilih pks pilih partai buruh jangan pilih prabowo dan semua partai pengusungnya pilih gama tpi jangan pilih pdip pilih partai buruh re debordsbitch,lu org2 prodemokrasi negara sempat ngelawan oligarki indo pilih amin tpi pilih pks pilih partai buruh pilih prabowo partai usung pilih gama tpi pilih pdip pilih partai buruh re debordsbitch
TXT0002,prabowo ditanya soal hutang luar negeri dia menjawab hutang luar negeri indonesia masih terhitung rendah dan dia tak khawatir intervensi asing akibat hutang seperti krisis moneter 1997 saat orde baru dibantah ganjar hutang luar negeri demi infrastruktur bisa berbahaya btw bajunya ganjar matching dengan tema debat anies menegaskan normal hutang luar negeri yg aman tak lebih dari 30 gdp hutang dipakai menhan membeli alutsista bekas adalah suatu kesiasiaan prabowo tak merespon soal alutsista bekas karena jika membeli baru uang yg dikeluarkan lebih besar re mazzini_gsp,prabowo hutang negeri hutang negeri indonesia hitung rendah khawatir intervensi asing akibat hutang krisis moneter 1997 orde ban ganjar hutang negeri infrastruktur bahaya btw baju ganjar matching tema debat anies normal hutang negeri yg aman 30 gdp hutang pakai menhan beli alutsista bekas kesiasiaan prabowo merespon alutsista bekas beli uang yg keluar re mazzini gsp
TXT0003,kiki_daliyo ganjar pranowo itulah beliau sosok yang mengagunhkan nilai nilai pancasila dan banyak memberikan kesadaran yg baik buat kita semua hebat happy new year,kiki daliyo ganjar pranowo beliau sosok mengagunhkan nilai nilai pancasila sadar yg hebat happy new year
TXT0004,prabowo gibran yang bisa melakukan itu semua demi kesejahteraan rakyat,prabowo gibran sejahtera rakyat
TXT0005,lah justru yg gak nyambung junjungan elu aomkmkmkmk ngomongin etika tapi ngatain pak anies omon omon sambil nyenyek tuh gimana ãâÿââ pak anies masih sopan lho gak ngakak brutal atau pasang wajah mengejek waktu dia asbun hutang 50 atau nyuruh belajar ekonomi lagi,yg gak nyambung junjung elu aomkmkmkmk ngomongin etika ngatain anies omon omon nyenyek tuh gimana anies sopan lho gak ngakak brutal pasang wajah ejek asbun hutang 50 nyuruh ajar ekonomi
TXT0006,nelayan tak bisa terus terjebak dalam kredit macet oleh karena itu ganjar pranowo mahfud md bersama kita buka pintu kebebasan,nelayan jebak kredit macet ganjar pranowo mahfud md buka pintu bebas
TXT0007,prabowo anti kebebasan pers,prabowo anti bebas pers
TXT0008,kontrak terbuka ganjar pranowo adalah cermin dari kepedulian untuk kita semua yuk bersama jaga kedaulatan pangan,kontrak buka ganjar pranowo cermin peduli yuk jaga daulat pangan
TXT0009,ãâÿââ½ ganjar mahfud hebat pak ganjar selalu menjungjung tinggi toleransi dan menerapkan bhineka tunggal ika ganjar mahfud hebat,ganjar mahfud hebat ganjar menjungjung toleransi terap bhineka tunggal ika ganjar mahfud hebat
TXT0010,ganjarmahfud adalah harapan baru untuk pertumbuhan ekonomi kita happy new year,ganjarmahfud harap tumbuh ekonomi happy new year
TXT0011,ganjar 3kali lipat anis saat anis tanya nilai wo dipancing anis keluarin blunder angka 11itu penghinaan beda dan wajar dgan angka 5,ganjar 3kali lipat anis anis nilai wo pancing anis keluarin blunder angka 11itu hina beda wajar dgan angka 5
TXT0012,malumaluin dari gemoy ke minyak gorengãââ apakah tidak ada cara kampanye yang lebih terhormat u masyarakat dan demokrasi kenapa masyarakat dan demokrasi diukurukur dg sembako dan rupiah contoh lah desak aniesãââ terhormat re shamsiali2,malumaluin gemoy minyak goreng kampanye hormat u masyarakat demokrasi masyarakat demokrasi diukurukur dg sembako rupiah contoh desak anies hormat re shamsiali2
TXT0013,saking pen junjungan mrk brkuasa ap sj dlanggar dan sj mlempem letoy hdapi planggaran mrk yg tak bretika ãâÿââãâÿââãâÿââ re kurusetra91,saking pen junjung mrk brkuasa ap sj dlanggar sj mlempem letoy hdapi planggaran mrk yg bretika re kurusetra91
TXT0014,manifesto gerakan rakyat untuk perubahan lintas profesi di pantura jawa tengah kompak dukung aniesmuhaimin amin re oposisicerdas,manifesto gera rakyat ubah lintas profesi pantura jawa kompak dukung aniesmuhaimin amin re oposisicerdas
TXT0015,masyaallah gegap gempita para santriwansantriwati saat menyambut kehadiran ganjar ke ponpes an nawawi berjan purworejo 31122023 selain semarak dari barisan santri dalam kunjungannya ganjar pranowo turut mendapat doa terbaik supaya hajatnya menjadi kepala negara untuk memberikan kesejahteraan kepada rakyat indonesia dikabulkan oleh tuhan yang maha esa aamiin re aan_muba,masyaallah gegap gempita santriwansantriwati sambut hadir ganjar ponpes an nawawi berjan purworejo 31122023 semarak baris santri kunjung ganjar pranowo doa baik hajat kepala negara sejahtera rakyat indonesia kabul tuhan maha esa aamiin re aan muba
TXT0016,sesi saling tanya antar capres digunakan ganjar dan anies kompak untuk menyikat prabowo anies bertanya ke prabowo hubungannya etika pemimpin negara dengan pertahanan negara di sini anies bermaksud menyerang etika jokowi soal pencawapresan gibran juga terkait adanya kader gerindra yg menjadi rekanan kemhan mereka ialah glenny kairupan yudi magio yusuf prasetyo hadi angga raka prabowo komisaris dari pt tmi prabowo menjawab ãââœjangan menghasut dan menyesatkan rakyat demi ambisi pribadi begitu prof anies baswedan prabowo berpendapat anies tak layak bicara etika untuk ganjar prabowo menjelaskan kelayakan alutsista yg ia beli masih layak 15 tahun pakai ia membandingkan membeli alutsista baru selain nominalnya besar mengurus pembeliannya memakan waktu bertahuntahun menurut prabowo setelah dibeli baru bisa digunakan 3 tahun selanjutnya re mazzini_gsp,sesi capres ganjar anies kompak sikat prabowo anies prabowo hubung etika pimpin negara tahan negara anies serang etika jokowi pencawapresan gibran kait kader gerindra yg rekan kemhan glenny kairupan yudi magio yusuf prasetyo had angga raka prabowo komisaris pt tmi prabowo jangan hasut sesat rakyat ambisi pribadi prof anies baswedan prabowo dapat anies layak bicara etika ganjar prabowo layak alutsista yg beli layak 15 pakai banding beli alutsista nominal urus beli makan bertahuntahun prabowo beli 3 re mazzini gsp
TXT0017,setuju jgn sampai pajak dinaikkan 23 bisa amblas keuangan generasi z dukung yg nyata saja ganjarmahfud lah pilihannya ganjarmahfud lah jawabannya,tuju jgn pajak naik 23 amblas uang generasi z dukung yg nyata ganjarmahfud pilih ganjarmahfud jawab
TXT0018,dengan ganjarmahfud kita bisa berharap peningkatan investasi riset dan inovasi industri unggulan akan menjadi kenyataan happy new year,ganjarmahfud harap tingkat investasi riset inovasi industri unggul nyata happy new year
TXT0019,kampanye politik anies dalam pilgub dki mempengaruhi dinamika masyarakat di mana generasi tua memendam kebencian yang sulit diperbaiki oleh generasi muda berdampak pada kohesi sosial antar kelompok usia dalam populasi,kampanye politik anies pilgub dki pengaruh dinamika masyarakat generasi tua pendam benci sulit baik generasi muda dampak kohesi sosial kelompok usia populasi
TXT0020,anies mengatakan bansos berasal dari uang pajak rakyat bukan berasal dari pribadi seseorang untuk kepentingan masyarakat re kumparan,anies bansos asal uang pajak rakyat asal pribadi penting masyarakat re kumpar
TXT0021,upaya pemberantasan korupsi anies ingin kembalikan kekuatan kpk lewat revisi uu re tempodotco,upaya berantas korupsi anies kembali kuat kpk revisi uu re tempodotco
TXT0022,ãââ ãâ taufikdamasãâ netizenganstaãââ qtãâ netizenganãâ kakekhalalãâ antikorupsi setya novanto sebut ganjar pranowo terima duit ektp us 500 ribuãâ gqpjrpvqw9ãâ ganjar mahfud hebat nelayanãâ sejahtera,taufikdamas netizengansta qt netizengan kakekhalal antikorupsi setya novanto ganjar pranowo terima duit ektp us 500 ribu gqpjrpvqw9 ganjar mahfud hebat nelayan sejahtera
TXT0023,capres cawapres ganjar pranowo dan mahfud md mari bersamasama kita buka jalan bagi nelayan yang terjebak kredit macet sebagai hasilnya mereka dapat melangkah menuju kebebasan finansial,capres cawapres ganjar pranowo mahfud md mari bersamasama buka jalan nelayan jebak kredit macet hasil lang bebas finansial
TXT0024,jtoybntghljubsxbbykfriwqvndlunz3qjo mwzndoy6gpwxedlhaiexkudeno8s zmirzll4qb36iubvn8gcncwqqeplw apalagi kita sebgai negara kepulauan bagian pasifik utara kita harus punya 3 selatan 2 bagian barat 3 dan timur 2 ngra di dua samudra colek pak,jtoybntghljubsxbbykfriwqvndlunz3qjo mwzndoy6gpwxedlhaiexkudeno8s zmirzll4qb36iubvn8gcncwqqeplw sebgai negara pulau pasifik utara 3 selatan 2 barat 3 timur 2 ngra samudra colek
TXT0025,kehadiran sosokãâ capresãâ nomor urut tiga pada pemilu 2024 ganjar pranowo di tpi desa karanganyar kabupaten rembang membuat nelayan setempat bersuka cita mereka senang ketika mengetahuiãâ ganjar pranowoãâ membawa program unggulan berupa penghapusan kredit macet atau utang bagi para nelayan ganjar menyebutãâ utangãâ yang dimiliki nelayan tidak besar dan bisa untuk dibantu dilunaskan pemerintah pihaknya sudah menghitung jumlah kredit macet di sektor perikanan indonesia ganjar mengatakan jumlah kredit macet tidaklah banyak sekitar rp 190 miliar ganjarmahfud,hadir sosok capres nomor urut milu 2024 ganjar pranowo tpi desa karanganyar kabupaten rembang nelayan suka cita senang tahu ganjar pranowo bawa program unggul hapus kredit macet utang nelayan ganjar sebut utang milik nelayan bantu lunas perintah hitung kredit macet sektor ikan indonesia ganjar kredit macet rp 190 miliar ganjarmahfud
TXT0026,abah online meroket figur pak anies semakin populer di kalangan anak anak milenial dan anakanak genz gagasan dan gaya komunikasi pak anies tentu berhasil memikat anak anak muda terutama anak anak genz dan ini memberi warna baru dalam kancah berpoltikan re yurissa_samosir,abah online roket figur anies populer kalang anak anak milenial anakanak genz gagas gaya komunikasi anies hasil mikat anak anak muda anak anak genz warna kancah berpoltikan re yurissa samosir
TXT0027,habis debat soal pesawat bekas prabowo teken kontrak msn,habis debat pesawat bekas prabowo teken kontrak msn
TXT0028,ganjar pranowo dan mahfud md pembela kesejahteraan rakyat ganjar mahfud hebat memimpin indonesia,ganjar pranowo mahfud md bela sejahtera rakyat ganjar mahfud hebat pimpin indonesia
TXT0029,ganjar pranowo itu bukan cuma pemimpin yang mikirin kepentingan diri sendiri tapi juga kepentingan rakyat dan kebebasan berpendapat di masyarakat,ganjar pranowo pimpin mikirin penting penting rakyat bebas dapat masyarakat
TXT0030,harus nya seperti ini duduk bersila diacara untuk menjawab dan mengklarifikasi atau mengclearkan tuduhan atau isu penculikan dan pelanggaran ham yang dialamatkan kedia agar tidak ada lagi asumsi isu pelanggaran ham dan penculikan hanya muncul saat pilpres re catatan_ali7,nya duduk sila acara klarifikasi mengclearkan tuduh isu culi langgar ham alamat dia asumsi isu langgar ham culi muncul pilpres re catat ali7
TXT0031,weelehãâ² isue 5 tahunan yg trus dimunculkan cyber hti dkk era orba militer adlah alat yg dikedepankn demi stabilitas politik dri pemerintah yg otoriter adalah sngt tdk logis jika krusuhan yg bgitu masif hanya prabowo yg brtanggung jawab makanya tdk pernah ada pengadilannya,weeleh isue 5 tahun yg trus muncul cyber hti dkk era orba militer adlah alat yg dikedepankn stabilitas politik dri perintah yg otoriter sngt tdk logis krusuhan yg bgitu masif prabowo yg brtanggung tdk adil
TXT0032,padahal tnp usung anies di dki jadi partai gurem emang ada curut2 geri dra yg layak jadi gubernur re resty_j_cayah,tnp usung anies dki partai gurem emang curut2 geri dra yg layak gubernur re resty j cayah
TXT0033,byangin aja orang lebih marah anies gagal mencapai target dp 0 dibanding jokowi gagal menepati janji tidak impor dan memperkuat kpk belum bahas janji yang lain ya gw hingga saat ini masih ga pernah dapet jwbn dari haters anies kenapa mereka tidak se kritia itu thdp janji owi,byangin aja orang marah anies gagal capai target dp 0 banding jokowi gagal tepat janji impor kuat kpk bahas janji ya gw ga dapet jwbn haters anies kritia thdp janji owi
TXT0034,yang bubarin fpi kan pemerintah pusat bukan anies gak kebayang kayak apa jakarta dengan anies sebagai gubernur kalau fpi belum dibubarkan dukung sih silakan aja tapi jangan denial kalau anies mendapatkan keuntungan dari ormas diskriminatif anies bukan manusia sempurna re redhatjkt,bubarin fpi perintah pusat anies gak bayang kayak jakarta anies gubernur fpi bubar dukung sih sila aja denial anies untung ormas diskriminatif anies manusia sempurna re redhatjkt
TXT0035,ibaratkan cak imin belimbing matang di pohon anies sindir gibran re oposisicerdas,cak imin belimbing matang pohon anies sindir gibran re oposisicerdas
TXT0036,prabowo menilai korupsi merusak kehidupan bangsa membahayakan keselamatan negara salah satu yang ia tawarkan adalah menaikkan gaji para pejabat re nu_online,prabowo nilai korupsi rusak hidup bangsa bahaya selamat negara salah tawar naik gaji jabat re nu online
TXT0037,pilihlah yang jauh dari radikalisme dan dekat dengan solusi pilih ganjar pranowo,pilih radikalisme solusi pilih ganjar pranowo
TXT0038,yg sepakat untuk 2024 asal bukan prabowo silahkan retweet kita kabar kan seluruh nusantara bahwa indonesia tdk butuh capres penculikãââœ pelangar ham beratãââœ cawapres perusakãââœ demokrasi dan konstitusiãââœ cukup re eddy_widodo_165,yg sepakat 2024 prabowo silah retweet kabar nusantara indonesia tdk butuh capres culik pelangar ham berat cawapres usak demokrasi konstitusi re eddy widodo 165
TXT0039,mantap korupsi akan dibabat sama pak anies,mantap korupsi babat anies
TXT0040,etika dan kepemimpinan itu di mulai dari lingkungan keluarga wowo menyindir pak anies dan pak anies tetap senyum dan tidak baper giliran balik di sindir oleh pak anies kata pendukung wowo debat malah nyerang personal memang lucu lihat kelakuan pendukung wowo ãâÿââãâÿââ re yurissa_samosir,etika pimpin lingkung keluarga wowo sindir anies anies senyum baper gilir sindir anies dukung wowo debat nyerang personal lucu lihat laku dukung wowo re yurissa samosir
TXT0041,ini gambaran kalo kita kritik pemerintah nanti kritik pak prabowo sebagai menhan aja disebut kritik personal di replyannya ãâÿââ re hwztmf,gambar kalo kritik perintah kritik prabowo menhan aja kritik personal replyannya re hwztmf
