IDText,Text,cleaned_text
TXT0001,lu mau org2 prodemokrasi di negara ini bisa punya kesempatan lagi buat ngelawan oligarki di indo pilih amin tpi jangan pilih pks pilih partai buruh jangan pilih prabowo dan semua partai pengusungnya pilih gama tpi jangan pilih pdip pilih partai buruh re debordsbitch,kunjungan prabowo ini untuk meresmikan dan menyerahkan proyek bantuan air bersih di lima titik prabowo subianto
TXT0002,prabowo ditanya soal hutang luar negeri dia menjawab hutang luar negeri indonesia masih terhitung rendah dan dia tak khawatir intervensi asing akibat hutang seperti krisis moneter 1997 saat orde baru dibantah ganjar hutang luar negeri demi infrastruktur bisa berbahaya btw bajunya ganjar matching dengan tema debat anies menegaskan normal hutang luar negeri yg aman tak lebih dari 30 gdp hutang dipakai menhan membeli alutsista bekas adalah suatu kesiasiaan prabowo tak merespon soal alutsista bekas karena jika membeli baru uang yg dikeluarkan lebih besar re mazzini_gsp,anies dapat tepuk tangan meriah saat jadi rektor mewajibkan mata kuliah antikorupsi untuk memutus mata rantai korupsi reply ekowboy2
TXT0003,kiki_daliyo ganjar pranowo itulah beliau sosok yang mengagunhkan nilai nilai pancasila dan banyak memberikan kesadaran yg baik buat kita semua hebat happy new year,memang benar sih pendukung 01 ada yang bodoh begitu juga dg pendukung 02 hanya saja menurut pak ridwan kamil skemanya terbalik kalau 01 mayoritas pendidikan menengah atas artinya ada juga pendidikan rendah yang milih
TXT0004,prabowo gibran yang bisa melakukan itu semua demi kesejahteraan rakyat,sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua giliran skrg gibran yang menyebalkan dan sok kritis bahkan dianggap kritis dan keras apakah ini tidak standar ganda ãâÿââ reply coldthem
TXT0005,lah justru yg gak nyambung junjungan elu aomkmkmkmk ngomongin etika tapi ngatain pak anies omon omon sambil nyenyek tuh gimana ãâÿââ pak anies masih sopan lho gak ngakak brutal atau pasang wajah mengejek waktu dia asbun hutang 50 atau nyuruh belajar ekonomi lagi,anies baswedan harap asn termasuk tni dan polri pegang sumpahnya dalam pemilu
TXT0006,nelayan tak bisa terus terjebak dalam kredit macet oleh karena itu ganjar pranowo mahfud md bersama kita buka pintu kebebasan,aduh jangan sampai pak lurah denger ini ãâÿââ di acara hajatan rakyat puluhan ribu warga di kendal serukan ãââœganjar presidenãââ kehadiran zfs3hratcfuslrh56refyrlq4 menjadi magnet bagi puluhan ribu warga untuk datang menghadiri hajatan rakyat ganjarmahfud besarnya antusiasme warga menjadi bukti bahwa jawa tengah tetap menjadi kandang banteng reply ds_yantie
TXT0007,prabowo anti kebebasan pers,prabowo minta kemenhan dan tim satgas air unhan kaji bantuan air di sukabumi dekade08 prabowo gibran
TXT0008,kontrak terbuka ganjar pranowo adalah cermin dari kepedulian untuk kita semua yuk bersama jaga kedaulatan pangan,anies iya allah sibukkanlah orang zalim agar dapat kejahatan dari orang zalim lainnya reply oposisicerdas
TXT0009,ãâÿââ½ ganjar mahfud hebat pak ganjar selalu menjungjung tinggi toleransi dan menerapkan bhineka tunggal ika ganjar mahfud hebat,abah ciazc9q5hgwvktsqndqlkgtc itu bapa kami bapa yang berikan perhatian untuk pendidikan anak anak papua jadi pintar pintar gerakan indonesia mengajar tidak bisa di lupakan sama warga papua kami ingin bapa anies jadi presiden reply langkahanies
TXT0010,ganjarmahfud adalah harapan baru untuk pertumbuhan ekonomi kita happy new year,bawaslu dimaki anjing sama warga garaãâ² mencopot spanduk ganjar mahfud sementara spanduk capres lain tidak dicopot bawaslu rasa tim sukses ãâÿââª reply 03__nakula
